Locations,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Brand House,Brand,Product,Pack Size,Month,Total Retail Sales,Total Units,Original List Price,Discount List Price,Pack ARP,EQ ARP,Cost
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Badder,,Slang,Bakked,Bakked - Lilac Diesel - Badder - (1g),1g,4/1/2026,77.37690569,2.418273968,45,,31.99674922,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Badder,,Slang,Bakked,Bakked - Truffle Hound - Badder - (1g),1g,4/1/2026,42.85940762,1.209136984,45,,35.44627961,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Badder,,Verano,(the) Essence,(the) Essence - Sunshine OG - Badder - (1g),1g,4/1/2026,52.55525657,1.209136984,60,,43.46509723,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Shatter,,Verano,(the) Essence,(the) Essence - Yum Yum - Shatter (1g),1g,4/1/2026,105.6352061,2.418273968,60,,43.68206725,,
Barboursville Cannabis Company (Barboursville),Extracts,Resin,Wax,,Verano,(the) Essence,(the) Essence - Sunshine OG - Wax - (1g),1g,4/1/2026,163.9958741,3.627410952,60,48,45.21017229,,
Barboursville Cannabis Company (Barboursville),Extracts,Solventless,Bubble Hash,,The Cannabist,Amber,Amber - KY Jealous - Live Bubble Hash (Gram)- Bubble Hash (1g),1g,4/1/2026,38.28933783,1.209136984,100,,31.66666667,,
Barboursville Cannabis Company (Barboursville),Flower,Infused Flower,,,Verano,Savvy,Savvy - Fresh Powder - Flower - Infused Flower (7g),7g,4/1/2026,719.7135705,10.88223286,80,64,66.1365714,,
Barboursville Cannabis Company (Barboursville),Flower,Pre-Ground,,,Holistic Industries,Strane,Strane - La Baker - Flower - Pre-Ground (7g),7g,4/1/2026,559.0059287,16.92791777,55,33,33.02272236,,
Barboursville Cannabis Company (Barboursville),Flower,Pre-Ground,,,Old Pal,Old Pal,Old Pal - Majestic Jack - Flower - Pre-Ground (14g),14g,4/1/2026,80.39830354,1.209136984,95,,66.49230369,,
Barboursville Cannabis Company (Barboursville),Flower,Pre-Ground,,,Verano,Savvy,Savvy - Orange Pound Cake - Flower - Pre-Ground (7g),7g,4/1/2026,144.358882,3.627410952,60,,39.79667149,,
